#Selection name: Selection 2
#Area (µm^2): 6937406.86
Cell ID,Cluster,Transcripts,Area (µm^2)
mmfnjdld-1,Cluster 7,0,20.87
mmlchane-1,Cluster 14,0,51.77
mmkpeodc-1,Cluster 7,0,10.66
mmkpfolg-1,Cluster 7,0,4.47
mmkoclpp-1,Cluster 17,0,12.08
mmkodbbj-1,Cluster 2,0,26.76
mmknnjdm-1,Cluster 17,0,11.47
mmlgdhcf-1,Cluster 5,0,5.87
mmkpjfoc-1,Cluster 16,0,4.47
mmlahomb-1,Cluster 2,0,31.82
mmlbbfdo-1,Cluster 8,0,14.88
mmknmggg-1,Cluster 7,0,23.26
mmlbhfeh-1,Cluster 4,0,30.19
mmlbiehg-1,Cluster 4,0,33.92
mmknhiho-1,Cluster 7,0,38.90
mmlcbjkp-1,Cluster 2,0,17.02
mmlamgkc-1,Cluster 7,0,18.04
mmlceiep-1,Cluster 7,0,8.88
mmlalnac-1,Cluster 16,0,6.37
mmkngicd-1,Cluster 14,0,5.04
mmlaeego-1,Cluster 5,0,22.50
mmknfbap-1,Cluster 7,0,40.75
mmlbfnlb-1,Cluster 8,0,14.17
mmlajfeb-1,Cluster 7,0,15.72
mmlbhfod-1,Cluster 10,0,22.51
mmlakkej-1,Cluster 7,0,5.53
mmlfmogm-1,Cluster 15,0,11.39
mmlgbcij-1,Cluster 4,0,21.05
mmlghfdi-1,Cluster 8,0,20.45
mmldbknf-1,Cluster 2,0,4.53
mmlgckbd-1,Cluster 7,0,8.39
mmlfodnm-1,Cluster 7,0,29.78
mmlgfedc-1,Cluster 6,0,9.18
mmlggplp-1,Cluster 12,0,11.71
mmlhhjhm-1,Cluster 4,0,5.73
mmlgoghg-1,Cluster 8,0,22.86
mmlfpdnc-1,Cluster 7,0,4.49
mmlhifpn-1,Cluster 2,0,34.15
mmlheegg-1,Cluster 2,0,33.10
mmlhicih-1,Cluster 26,0,5.22
mmkjlbch-1,Cluster 8,0,11.39
mmfhlkmj-1,Cluster 7,0,23.93
mmfhcecb-1,Cluster 2,0,18.42
mmfgdfkl-1,Cluster 12,0,8.02
mmfhehoc-1,Cluster 7,0,26.50
mmfgjjoc-1,Cluster 2,0,37.37
mmfglfom-1,Cluster 7,0,4.99
mmfgicil-1,Cluster 2,0,39.12
mmfgddfb-1,Cluster 7,0,24.14
mmfhcoam-1,Cluster 5,0,13.21
mmfmapje-1,Cluster 12,0,11.57
mmfghpoe-1,Cluster 7,0,46.17
mmfmdedj-1,Cluster 27,0,7.99
mmfgdmof-1,Unassigned,0,5.08
mmfgncod-1,Cluster 6,0,22.67
mmfmeoak-1,Cluster 7,0,7.10
mmffonig-1,Cluster 7,0,39.60
mmfgcpom-1,Cluster 7,0,47.55
mmfmddbo-1,Cluster 7,0,17.03
mmfekacm-1,Cluster 7,0,25.88
mmfmcbml-1,Cluster 5,0,34.28
mmffifeo-1,Cluster 7,0,5.47
mmfmmama-1,Cluster 2,0,7.56
mmfemcld-1,Cluster 30,0,9.29
mmfhehhc-1,Cluster 16,0,7.93
mmfmhiam-1,Cluster 7,0,52.23
mmfgghoj-1,Cluster 7,0,8.98
mmfhpnlc-1,Cluster 29,0,10.60
mmfhfdlh-1,Cluster 7,0,8.46
mmfhlomh-1,Cluster 8,0,13.67
mmcghdlf-1,Cluster 7,0,14.69
mmfhmiia-1,Cluster 2,0,9.84
mmcegbdo-1,Cluster 7,0,24.07
mmfigigc-1,Cluster 7,0,24.88
mmcffemb-1,Cluster 7,0,17.62
mmcfkebj-1,Cluster 2,0,38.45
mmcfpilb-1,Cluster 7,0,20.88
mmfidhch-1,Cluster 7,0,21.15
mmfhakfk-1,Cluster 16,0,8.81
mmfhnfhh-1,Cluster 10,0,10.00
mmcjbffp-1,Cluster 8,0,18.04
mmfhpnop-1,Cluster 7,0,13.47
mmcgeool-1,Cluster 7,0,16.19
mmcjcibh-1,Cluster 7,0,17.90
mmfhhenf-1,Cluster 7,0,12.86
mmcgejgp-1,Cluster 7,0,20.07
mmcfamfm-1,Cluster 7,0,42.64
mmcepbmm-1,Cluster 7,0,18.80
mmfhiogi-1,Cluster 7,0,19.09
mmfhppkb-1,Cluster 5,0,33.31
mmfiajgi-1,Cluster 7,0,17.84
mmgagdok-1,Cluster 7,0,46.13
mmfiildk-1,Cluster 2,0,54.16
mmfclpho-1,Cluster 2,0,5.44
mmffbahp-1,Cluster 21,0,4.35
mmfnihnl-1,Cluster 8,0,8.16
mmfdebla-1,Cluster 4,0,6.65
