"","cell_id","group"
"1","mljnbfhe-1","InsertTissueIDHere"
"2","mljojaeg-1","InsertTissueIDHere"
"3","mljojodp-1","InsertTissueIDHere"
"4","mljoplaj-1","InsertTissueIDHere"
"5","mljpahag-1","InsertTissueIDHere"
"6","mljpmkng-1","InsertTissueIDHere"
"7","mlkadnim-1","InsertTissueIDHere"
"8","mlkaemoe-1","InsertTissueIDHere"
"9","mlkappfa-1","InsertTissueIDHere"
"10","mlkbbcpg-1","InsertTissueIDHere"
"11","mlkbcnfa-1","InsertTissueIDHere"
"12","mlkbilab-1","InsertTissueIDHere"
"13","mlkbmfpn-1","InsertTissueIDHere"
"14","mlkbmgld-1","InsertTissueIDHere"
"15","mlkcbege-1","InsertTissueIDHere"
"16","mlkcgheh-1","InsertTissueIDHere"
"17","mlkcjbjf-1","InsertTissueIDHere"
"18","mlkdiioo-1","InsertTissueIDHere"
"19","mlkemipi-1","InsertTissueIDHere"
"20","mlkgmkap-1","InsertTissueIDHere"
"21","mlkhaebp-1","InsertTissueIDHere"
"22","mlkhhblb-1","InsertTissueIDHere"
"23","mlkhmbnp-1","InsertTissueIDHere"
"24","mlkiahka-1","InsertTissueIDHere"
"25","mlknnmdi-1","InsertTissueIDHere"
"26","mlkphmbf-1","InsertTissueIDHere"
"27","mllfmchm-1","InsertTissueIDHere"
"28","mllfnekn-1","InsertTissueIDHere"
"29","mllgbegk-1","InsertTissueIDHere"
"30","mllkncpp-1","InsertTissueIDHere"
"31","mlmbepma-1","InsertTissueIDHere"
"32","mlmbjdae-1","InsertTissueIDHere"
"33","mlmcfghf-1","InsertTissueIDHere"
"34","mlmcgmnm-1","InsertTissueIDHere"
"35","mlmdmiol-1","InsertTissueIDHere"
"36","mlmiihjg-1","InsertTissueIDHere"
"37","mlmimcag-1","InsertTissueIDHere"
"38","mlminibl-1","InsertTissueIDHere"
"39","mlmjjgaa-1","InsertTissueIDHere"
"40","mlmjlpnf-1","InsertTissueIDHere"
"41","mlmlgoci-1","InsertTissueIDHere"
"42","mlmlppgo-1","InsertTissueIDHere"
"43","mlmmeadg-1","InsertTissueIDHere"
"44","mlmoahej-1","InsertTissueIDHere"
"45","mlmojmed-1","InsertTissueIDHere"
"46","mlmokhlj-1","InsertTissueIDHere"
"47","mlmpagah-1","InsertTissueIDHere"
"48","mlnaflka-1","InsertTissueIDHere"
"49","mlnajgfl-1","InsertTissueIDHere"
"50","mlnanhmc-1","InsertTissueIDHere"
"51","mlnbccmm-1","InsertTissueIDHere"
"52","mlnbeilf-1","InsertTissueIDHere"
"53","mlnbgbkj-1","InsertTissueIDHere"
"54","mlnphaha-1","InsertTissueIDHere"
"55","mlnplgmg-1","InsertTissueIDHere"
"56","mlohobcc-1","InsertTissueIDHere"
"57","mlpilihm-1","InsertTissueIDHere"
"58","mlpjmpkb-1","InsertTissueIDHere"
"59","mmaeblmo-1","InsertTissueIDHere"
"60","mmagamej-1","InsertTissueIDHere"
"61","mmahjika-1","InsertTissueIDHere"
"62","mmbedfbk-1","InsertTissueIDHere"
"63","mmblccff-1","InsertTissueIDHere"
"64","mmbpdcln-1","InsertTissueIDHere"
"65","mmckdblm-1","InsertTissueIDHere"
"66","mmdajook-1","InsertTissueIDHere"
"67","mmeagapm-1","InsertTissueIDHere"
"68","mmfbofja-1","InsertTissueIDHere"
"69","mmiippma-1","InsertTissueIDHere"
"70","mminedij-1","InsertTissueIDHere"
"71","mmlbhfeh-1","InsertTissueIDHere"
"72","mmmdlmde-1","InsertTissueIDHere"
"73","mmmpbobl-1","InsertTissueIDHere"
"74","mmmpdkbl-1","InsertTissueIDHere"
"75","mmneeeda-1","InsertTissueIDHere"
"76","mmonancf-1","InsertTissueIDHere"
"77","mmoodgcb-1","InsertTissueIDHere"
"78","mmpfknnj-1","InsertTissueIDHere"
"79","mmpfldlg-1","InsertTissueIDHere"
"80","mmpfmoco-1","InsertTissueIDHere"
"81","mmpifebf-1","InsertTissueIDHere"
"82","mnaabiea-1","InsertTissueIDHere"
"83","mnfdijnj-1","InsertTissueIDHere"
"84","mnfgmojc-1","InsertTissueIDHere"
"85","mnfibdbb-1","InsertTissueIDHere"
"86","mnfidnle-1","InsertTissueIDHere"
"87","mngpnmbj-1","InsertTissueIDHere"
"88","mnjodnmk-1","InsertTissueIDHere"
"89","mnkcgnnm-1","InsertTissueIDHere"
"90","mnlpbboh-1","InsertTissueIDHere"
"91","mnmdlhif-1","InsertTissueIDHere"
"92","mnpjfijf-1","InsertTissueIDHere"
"93","mnplmbjn-1","InsertTissueIDHere"
"94","moebcbfj-1","InsertTissueIDHere"
"95","moechach-1","InsertTissueIDHere"
"96","moegchni-1","InsertTissueIDHere"
"97","mofcndjm-1","InsertTissueIDHere"
"98","mogiecag-1","InsertTissueIDHere"
"99","mogmpnhn-1","InsertTissueIDHere"
"100","mohnfkfg-1","InsertTissueIDHere"
"101","mohpchak-1","InsertTissueIDHere"
"102","mojdiopf-1","InsertTissueIDHere"
"103","mokjckko-1","InsertTissueIDHere"
"104","molbkedc-1","InsertTissueIDHere"
"105","mpcgmjhb-1","InsertTissueIDHere"
"106","mpcheopa-1","InsertTissueIDHere"
"107","mpcicoil-1","InsertTissueIDHere"
"108","mpcidfkm-1","InsertTissueIDHere"
"109","mpcikgmn-1","InsertTissueIDHere"
"110","mpciohhp-1","InsertTissueIDHere"
"111","mpcjcapg-1","InsertTissueIDHere"
"112","mpcjddan-1","InsertTissueIDHere"
"113","mpcjiejm-1","InsertTissueIDHere"
"114","mpckfbim-1","InsertTissueIDHere"
"115","mpckogdf-1","InsertTissueIDHere"
"116","mpcligie-1","InsertTissueIDHere"
"117","mpclnalj-1","InsertTissueIDHere"
"118","mpclofop-1","InsertTissueIDHere"
"119","mpcmkkbc-1","InsertTissueIDHere"
"120","mpcmockm-1","InsertTissueIDHere"
"121","mpcnfmlg-1","InsertTissueIDHere"
"122","mpcogdpm-1","InsertTissueIDHere"
"123","mpcpigan-1","InsertTissueIDHere"
"124","mpcpihal-1","InsertTissueIDHere"
"125","mpcpmnah-1","InsertTissueIDHere"
"126","mpdoohlp-1","InsertTissueIDHere"
"127","mpeekceg-1","InsertTissueIDHere"
"128","mpeneoan-1","InsertTissueIDHere"
"129","mpfcadne-1","InsertTissueIDHere"
"130","mpfchkpe-1","InsertTissueIDHere"
"131","mpfchoom-1","InsertTissueIDHere"
"132","mpfgnaai-1","InsertTissueIDHere"
"133","mpfgpbfk-1","InsertTissueIDHere"
"134","mpfhejfh-1","InsertTissueIDHere"
"135","mpfhmelk-1","InsertTissueIDHere"
